,Cidade,UF,Código,Latitude,Longitude,Altitude,geometry,Dis_1,Viz_1,Dis_2,Viz_2,Dis_3,Viz_3,Dis_4,Viz_4,Dis_5,Viz_5,Dis_6,Viz_6,Dis_7,Viz_7,Dis_8,Viz_8,Dis_9,Viz_9,Dis_10,Viz_10
105,GRAJAU,MA,A207,-5.82472221,-46.15944444,230,POINT (-46.15944444 -5.82472221),,A872,,A214,,A204,,A112,,A035,,A215,,A529,,A535,,A803,,A126
106,ARAGUATINS,TO,A044,-5.6436111,-48.11166666,117,POINT (-48.11166666 -5.6436111),,A872,,A214,,A204,,A112,,A035,,A215,,A529,,A535,,A803,,A126
107,RIO GRANDE,RS,A802,-32.03333333,-52.1,2.46,POINT (-52.1 -32.03333333),,A872,,A214,,A204,,A112,,A035,,A215,,A529,,A535,,A803,,A126
108,VALENCA,RJ,A611,-22.35,-43.7,367,POINT (-43.7 -22.35),,A872,,A214,,A204,,A112,,A035,,A215,,A529,,A535,,A803,,A126
109,JATAI,GO,A016,-17.92388888,-51.71777777,582,POINT (-51.71777777 -17.92388888),,A872,,A214,,A204,,A112,,A035,,A215,,A529,,A535,,A803,,A126
110,MANHUACU,MG,A556,-20.26361111,-42.18277777,836,POINT (-42.18277777 -20.26361111),,A872,,A214,,A204,,A112,,A035,,A215,,A529,,A535,,A803,,A126
111,ALMENARA,MG,A508,-16.16666666,-40.68777777,194,POINT (-40.68777777 -16.16666666),,A872,,A214,,A204,,A112,,A035,,A215,,A529,,A535,,A803,,A126
112,PAO DE ACUCAR,AL,A323,-9.76583333,-37.44777777,19,POINT (-37.44777777 -9.76583333),,A872,,A214,,A204,,A112,,A035,,A215,,A529,,A535,,A803,,A126
113,JUTI,MS,A749,-22.85722222,-54.60555555,379,POINT (-54.60555555 -22.85722222),,A872,,A214,,A204,,A112,,A035,,A215,,A529,,A535,,A803,,A126
114,GARANHUNS,PE,A322,-8.90694444,-36.49472221,822.76,POINT (-36.49472221 -8.90694444),,A872,,A214,,A204,,A112,,A035,,A215,,A529,,A535,,A803,,A126
115,EUCLIDES DA CUNHA,BA,A442,-10.53722221,-38.99666666,430,POINT (-38.99666666 -10.53722221),,A872,,A214,,A204,,A112,,A035,,A215,,A529,,A535,,A803,,A126
116,PLANALTO,PR,A855,-25.72194443,-53.74805555,398,POINT (-53.74805555 -25.72194443),,A872,,A214,,A204,,A112,,A035,,A215,,A529,,A535,,A803,,A126
117,PAMPULHA,MG,A521,-19.88416666,-43.96944443,869,POINT (-43.96944443 -19.88416666),,A872,,A214,,A204,,A112,,A035,,A215,,A529,,A535,,A803,,A126
118,PALMEIRA DOS INDIOS,AL,A327,-9.42055554,-36.62027777,275,POINT (-36.62027777 -9.42055554),,A872,,A214,,A204,,A112,,A035,,A215,,A529,,A535,,A803,,A126
119,DOM PEDRITO,RS,A881,-31.0025,-54.61805554,150,POINT (-54.61805554 -31.0025),,A872,,A214,,A204,,A112,,A035,,A215,,A529,,A535,,A803,,A126
120,OBIDOS,PA,A232,-5.36583333,-49.12527777,96,POINT (-49.12527777 -5.36583333),,A872,,A214,,A204,,A112,,A035,,A215,,A529,,A535,,A803,,A126
121,SAO RAIMUNDO NONATO,PI,A345,-9.03305554,-42.70055555,402,POINT (-42.70055555 -9.03305554),,A872,,A214,,A204,,A112,,A035,,A215,,A529,,A535,,A803,,A126
122,VACARIA,RS,A880,-28.51361111,-50.88277777,986,POINT (-50.88277777 -28.51361111),,A872,,A214,,A204,,A112,,A035,,A215,,A529,,A535,,A803,,A126
123,PORTO ALEGRE,RS,A801,-30.05,-51.16666666,46.97,POINT (-51.16666666 -30.05),,A872,,A214,,A204,,A112,,A035,,A215,,A529,,A535,,A803,,A126
124,RIO VERDE,GO,A025,-17.78583333,-50.98138888,782,POINT (-50.98138888 -17.78583333),,A872,,A214,,A204,,A112,,A035,,A215,,A529,,A535,,A803,,A126
125,MARABA,PA,A240,-5.16722221,-49.37916666,116,POINT (-49.37916666 -5.16722221),,A872,,A214,,A204,,A112,,A035,,A215,,A529,,A535,,A803,,A126
126,BELO HORIZONTE - CERCADINHO,MG,F501,-19.97999999,-43.95861111,1214,POINT (-43.95861111 -19.97999999),,A872,,A214,,A204,,A112,,A035,,A215,,A529,,A535,,A803,,A126
127,CACAPAVA DO SUL,RS,A812,-30.54777777,-53.46749999,420,POINT (-53.46749999 -30.54777777),,A872,,A214,,A204,,A112,,A035,,A215,,A529,,A535,,A803,,A126
128,SAO FELIX  DO ARAGUAIA,MT,A921,-11.61888888,-50.72777777,218,POINT (-50.72777777 -11.61888888),,A872,,A214,,A204,,A112,,A035,,A215,,A529,,A535,,A803,,A126
129,MINA DO PALITO,PA,A246,-6.31972221,-55.78722221,261,POINT (-55.78722221 -6.31972221),,A872,,A214,,A204,,A112,,A035,,A215,,A529,,A535,,A803,,A126
130,CANELA,RS,A879,-29.36888888,-50.82749999,830,POINT (-50.82749999 -29.36888888),,A872,,A214,,A204,,A112,,A035,,A215,,A529,,A535,,A803,,A126
131,JACOBINA,BA,A440,-11.205,-40.465,453,POINT (-40.465 -11.205),,A872,,A214,,A204,,A112,,A035,,A215,,A529,,A535,,A803,,A126
132,ITABERABA,BA,A408,-12.51666666,-40.3,249.89,POINT (-40.3 -12.51666666),,A872,,A214,,A204,,A112,,A035,,A215,,A529,,A535,,A803,,A126
133,MACAPA,AP,A249,.03527777,-51.0886111,27,POINT (-51.0886111 0.03527777),,A872,,A214,,A204,,A112,,A035,,A215,,A529,,A535,,A803,,A126
134,SONORA,MS,A761,-17.89638888,-54.45361111,486,POINT (-54.45361111 -17.89638888),,A872,,A214,,A204,,A112,,A035,,A215,,A529,,A535,,A803,,A126
135,CAMARATUBA,PB,A352,-6.56083333,-35.13472221,136,POINT (-35.13472221 -6.56083333),,A872,,A214,,A204,,A112,,A035,,A215,,A529,,A535,,A803,,A126
136,DORES DO INDAIA,MG,A536,-19.48166666,-45.59388888,722,POINT (-45.59388888 -19.48166666),,A872,,A214,,A204,,A112,,A035,,A215,,A529,,A535,,A803,,A126
137,VITORIA DA CONQUISTA,BA,A414,-14.8861111,-40.80138888,874.81,POINT (-40.80138888 -14.8861111),,A872,,A214,,A204,,A112,,A035,,A215,,A529,,A535,,A803,,A126
138,PIATA,BA,A430,-13.15583333,-41.77416666,1290,POINT (-41.77416666 -13.15583333),,A872,,A214,,A204,,A112,,A035,,A215,,A529,,A535,,A803,,A126
139,EPITACIOLANDIA,AC,A140,-11.0236111,-68.73499999,217,POINT (-68.73499999 -11.0236111),,A872,,A214,,A204,,A112,,A035,,A215,,A529,,A535,,A803,,A126
140,ITUIUTABA,MG,A512,-18.95277777,-49.52499999,560,POINT (-49.52499999 -18.95277777),,A872,,A214,,A204,,A112,,A035,,A215,,A529,,A535,,A803,,A126
141,GOIANIA,GO,A002,-16.64277777,-49.21999999,770,POINT (-49.21999999 -16.64277777),,A872,,A214,,A204,,A112,,A035,,A215,,A529,,A535,,A803,,A126
142,ITAPETINGA,BA,A446,-15.24472221,-40.22944443,269,POINT (-40.22944443 -15.24472221),,A872,,A214,,A204,,A112,,A035,,A215,,A529,,A535,,A803,,A126
143,DIAMANTINA,MG,A537,-18.2311111,-43.64805555,1356,POINT (-43.64805555 -18.2311111),,A872,,A214,,A204,,A112,,A035,,A215,,A529,,A535,,A803,,A126
144,APUI,AM,A113,-7.21527777,-59.8886111,160,POINT (-59.8886111 -7.21527777),,A872,,A214,,A204,,A112,,A035,,A215,,A529,,A535,,A803,,A126
145,CONCEICAO DAS ALAGOAS,MG,A520,-19.98583333,-48.15138888,568,POINT (-48.15138888 -19.98583333),,A872,,A214,,A204,,A112,,A035,,A215,,A529,,A535,,A803,,A126
